# Hoodrich -- the way the riders go round the park. Recorded in the game:
# Settings, The block, Record the riders' path. One point a line, X, Y, Z.
# "loop" on a line of its own means the last point joins the first;
# without it they ride to the end and back.
loop
-209.91, -1501.84, 30.55
-210.76, -1502.38, 30.53
-211.60, -1503.02, 30.53
-212.44, -1503.71, 30.52
-213.17, -1504.42, 30.51
-213.88, -1505.17, 30.51
-214.62, -1505.97, 30.51
-215.37, -1506.79, 30.51
-216.11, -1507.59, 30.51
-216.79, -1508.34, 30.51
-217.50, -1509.11, 30.51
-218.19, -1509.87, 30.51
-218.88, -1510.62, 30.51
-219.56, -1511.37, 30.50
-220.27, -1512.15, 30.50
-220.97, -1512.91, 30.50
-221.66, -1513.67, 30.50
-222.44, -1514.53, 30.50
-223.16, -1515.33, 30.50
-223.87, -1516.11, 30.50
-224.55, -1516.86, 30.50
-225.29, -1517.67, 30.50
-225.99, -1518.44, 30.49
-226.70, -1519.22, 30.49
-227.38, -1519.96, 30.49
-228.08, -1520.73, 30.49
-228.77, -1521.49, 30.49
-229.52, -1522.31, 30.49
-230.27, -1523.14, 30.49
-231.03, -1523.93, 30.49
-231.78, -1524.61, 30.48
-232.56, -1525.32, 30.48
-233.39, -1526.06, 30.47
-234.14, -1526.73, 30.47
-234.94, -1527.34, 30.47
-235.78, -1527.97, 30.47
-236.65, -1528.64, 30.47
-237.48, -1529.38, 30.48
-238.29, -1530.21, 30.49
-238.87, -1531.11, 30.49
-239.40, -1532.11, 30.50
-239.88, -1533.05, 30.51
-240.29, -1533.97, 30.52
-240.64, -1534.92, 30.52
-240.99, -1535.90, 30.53
-241.33, -1536.86, 30.54
-241.70, -1537.81, 30.55
-242.08, -1538.78, 30.55
-242.48, -1539.80, 30.56
-242.88, -1540.81, 30.60
-243.29, -1541.86, 30.63
-243.71, -1542.91, 30.67
-244.12, -1543.94, 30.66
-244.49, -1544.88, 30.63
-244.89, -1545.88, 30.67
-245.29, -1546.88, 30.70
-245.70, -1547.81, 30.73
-246.17, -1548.77, 30.77
-246.77, -1549.63, 30.79
-247.57, -1550.38, 30.82
-248.50, -1550.81, 30.85
-249.54, -1550.85, 30.85
-250.50, -1550.56, 30.83
-251.48, -1550.06, 30.82
-252.38, -1549.54, 30.77
-253.20, -1548.92, 30.73
-254.01, -1548.24, 30.68
-254.89, -1547.47, 30.67
-255.59, -1546.70, 30.68
-256.27, -1545.83, 30.69
-257.02, -1544.99, 30.72
-257.91, -1544.31, 30.75
-258.77, -1543.77, 30.76
-259.69, -1543.25, 30.74
-260.67, -1542.84, 30.72
-261.62, -1542.50, 30.66
-262.64, -1542.23, 30.68
-263.64, -1542.29, 30.70
-264.64, -1542.51, 30.72
-265.65, -1542.76, 30.74
-266.60, -1543.22, 30.77
-267.61, -1543.73, 30.79
-268.50, -1544.32, 30.82
-269.43, -1545.01, 30.85
-270.26, -1545.74, 30.85
-271.06, -1546.58, 30.85
-271.68, -1547.41, 30.85
-272.32, -1548.31, 30.85
-272.94, -1549.27, 30.85
-273.48, -1550.28, 30.85
-273.99, -1551.24, 30.85
-274.50, -1552.28, 30.85
-274.92, -1553.35, 30.85
-275.27, -1554.30, 30.85
